code,title,points_r1_2020,points_r1_2019
GY251,Law (BCL),499.0,473.0
GY252,Law (BCL) and Human Rights,520.0,510.0
GY253,Law and Taxation,509.0,
GY254,Law (BCL)  Criminology and Criminal Justice,530.0,
GY261,Business Studies in International Hotel Management,497.0,486.0
GY262,Commerce in International Hotel Management (interv,681.0,671.0
GY301,Science,433.0,400.0
GY303,Biomedical Science,556.0,533.0
GY304,Biotechnology,465.0,473.0
GY308,Environmental Science,408.0,413.0
GY309,Financial Mathematics and Economics,487.0,454.0
GY310,Marine Science,419.0,409.0
GY313,Environmental Health and Safety,412.0,402.0
GY314,Earth and Ocean Sciences,403.0,402.0
GY318,Biopharmaceutical Chemistry,509.0,510.0
GY319,Mathematical Science,476.0,456.0
GY320,Physics (Degree options: Applied Astrophysics Biom,402.0,401.0
GY321,Genetics and Genomics,508.0,
GY322,Agricultural Sciences,,
GY350,Computer Science and Information Technology,403.0,425.0
GY401,Engineering (Undenominated),465.0,444.0
GY402,Civil Engineering,455.0,509.0
GY405,Mechanical Engineering,454.0,443.0
GY406,Electronic and Computer Engineering,510.0,509.0
GY408,Biomedical Engineering,509.0,519.0
GY410,Project and Construction Management,403.0,434.0
GY413,Energy Systems Engineering,502.0,532.0
GY414,Electrical and Electronic Engineering,405.0,454.0
GY501,Medicine (five year/six year course  HPAT required,728.0,726.0
GY502,Occupational Therapy,555.0,532.0
GY503,Speech and Language Therapy,543.0,529.0
GY504,Podiatric Medicine,443.0,434.0
GY515,General Nursing (Galway and Portiuncula),476.0,442.0
GY516,Mental Health Nursing,440.0,388.0
GY517,Midwifery,495.0,429.0
LY108,Business - Accounting,309.0,318.0
LY118,Business,290.0,287.0
LY128,Marketing with Online Technologies,,
LY208,Law,300.0,300.0
LY228,Sports and Exercise - Common Entry,300.0,278.0
LY408,Design - Common Entry,320.0,307.0
LY508,Fire Safety Engineering,276.0,270.0
LY518,Quantity Surveying,301.0,307.0
LY528,Construction Management,271.0,267.0
LY538,Architectural Technology,,
LY608,Mechanical Engineering,300.0,304.0
LY618,Electronic Engineering,312.0,307.0
LY708,Applied Computing,306.0,300.0
LY748,Computer Science,317.0,
LY818,Science - Common Entry,303.0,302.0
LY828,Agriculture - Common Entry,307.0,300.0
LY908,General Nursing,400.0,383.0
LY918,Psychiatric Nursing,357.0,291.0
LY928,Intellectual Disability Nursing,326.0,288.0
LY968,Early Childhood Care  Health and Education,303.0,300.0
LY978,Health and Social Care - Common Entry,280.0,260.0
MI001,Contemporary and Applied Theatre Studies,375.0,345.0
MI002,Arts,300.0,300.0
MI004,Education - Primary Teaching - International,577.0,
MI005,Education - Primary Teaching,495.0,473.0
MI006,Education - Primary Teaching - Gaeltacht Applicant,456.0,442.0
MI007,Early Childhood Care and Education,357.0,366.0
MI008,Education and Psychology - Primary Teaching,588.0,543.0
MI009,Education  Business Studies and Accounting,402.0,392.0
MI010,Education  Business Studies and Religious Studies,368.0,326.0
MI011,Education  Gaeilge and Religious Studies,409.0,377.0
MI012,Education  Gaeilge and Business Studies,401.0,398.0
MI013,Education  Mathematics and Gaeilge,444.0,433.0
MI014,Education  Mathematics and Business Studies,434.0,
CI110,Counselling and Psychotherapy,310.0,
CI111,Counselling and Psychotherapy with Addiction Studi,301.0,
CI112,Counselling and Psychotherapy with Youth Studies,311.0,
LC110,Art and Design (Common Entry  portfolio),740.0,734.0
LC114,Fashion and Textiles for Product and Costume (port,880.0,900.0
LC115,Art and Design Teacher Education (LIT and UL  port,942.0,
LC220,Digital Marketing,262.0,254.0
LC223,Law and Taxation,307.0,308.0
LC224,Accounting and Finance,300.0,299.0
LC225,Marketing and Management,298.0,298.0
LC226,Enterprise and Innovation,234.0,216.0
LC233,Software Development,272.0,300.0
LC234,Immersive Digital Media and Spatial Computing,225.0,219.0
LC236,Internet Systems Development,262.0,298.0
LC239,Computer Networks and Systems Management,307.0,335.0
LC241,Construction Management,255.0,276.0
LC242,Property Valuation and Management,282.0,292.0
LC243,Quantity Surveying,294.0,281.0
LC248,Built Environment (Common Entry),288.0,307.0
LC252,Civil Engineering Management,270.0,281.0
LC263,Medical Technology,294.0,282.0
LC265,Forensic and Pharmaceutical Sciences,413.0,335.0
LC266,Drug and Medicinal Product Analysis,262.0,236.0
LC275,Electrical Engineering,298.0,288.0
LC288,Mechanical Engineering,347.0,307.0
LC289,Precision Engineering,291.0,280.0
LC292,Social Care Work,367.0,360.0
LC293,Business Studies with Travel and Tourism Managemen,307.0,299.0
LC294,Business Studies with Event Management,279.0,271.0
LC295,Business Studies with Sports Management,252.0,263.0
LC297,Community and Addiction Studies,235.0,217.0
LC320,Business,346.0,337.0
LC330,Business with Computing,297.0,298.0
LC340,Interior Design,350.0,298.0
LC362,Biotechnology and Biopharmaceutical Sciences,413.0,379.0
LC371,Creative Broadcast and Film Production,309.0,298.0
LC372,Music Technology and Production,325.0,321.0
LC374,Renewable and Electrical Energy Engineering,318.0,317.0
LC375,Industrial Automation and Robotic Systems,317.0,321.0
LC376,Electronic Engineering with Computer Systems,318.0,308.0
LC380,Automotive Engineering and Transport Management,303.0,282.0
LC392,Business Studies in Beauty and Spa Management,236.0,217.0
LC393,Early Childhood Education and Care,236.0,260.0
LC402,Social Care Work,225.0,209.0
LC408,Environmental Science and Climate,279.0,262.0
LC416,Business,274.0,
LC418,Computing - Games Design and Development,270.0,271.0
LC422,Applied Strength and Conditioning,298.0,288.0
LC502,Game Art and Design (portfolio),852.0,838.0
LC517,Creative Media and Design,234.0,229.0
LC518,Digital Animation Production (portfolio),808.0,816.0
LC612,Social Care Work,320.0,319.0
LM002,Arts,348.0,329.0
LM019,Social Sciences,,
LM020,Law and Accounting,465.0,436.0
LM026,Performing Arts (audition format TBC),303.0,307.0
LM028,Criminal Justice,418.0,387.0
LM029,Law Plus,490.0,473.0
LM038,Psychology and Sociology,500.0,478.0
LM039,Journalism and Digital Communication,402.0,388.0
LM040,European Studies,369.0,350.0
LM044,Applied Languages,442.0,404.0
LM050,Business Studies (options),431.0,419.0
LM056,International Business,528.0,511.0
LM058,Financial Mathematics,403.0,434.0
LM063,Technology Management,379.0,372.0
LM066,Environmental Science,,
LM068,Food Science and Health,421.0,400.0
LM076,Product Design and Technology (portfolio required),408.0,402.0
LM077,Aeronautical Engineering,520.0,469.0
LM082,Construction Management and Engineering,398.0,368.0
LM089,Sport and Exercise Sciences,474.0,441.0
LM090,Physical Education with concurrent Teacher Educati,532.0,498.0
LM091,Languages with concurrent Teacher Education,517.0,
LM092,Science with Teacher Ed (Biology with Physics/Chem,507.0,478.0
LM093,Equine Science,339.0,338.0
LM094,Materials and Architectural Technology with concur,440.0,405.0
LM095,Materials and Engineering Technology with concurre,367.0,358.0
LM096,Science with Teacher Ed (Physical Sciences with Ch,405.0,382.0
LM097,Mathematics and Computer Science with concurrent T,402.0,
LM099,Architecture,498.0,419.0
LM100,Physiotherapy,589.0,565.0
LM101,Medicine  - Graduate Entry (GAMSAT required),55.0,55.0
LM102,Psychology,509.0,495.0
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,392.0,313.0
LM105,Exercise and Health Fitness Management,,
LM115,Chemical and Biochemical Engineering,454.0,456.0
LM116,Engineering (Biomedical/Civil/Design and Manufactu,476.0,434.0
LM118,Electronic and Computer Engineering,403.0,401.0
LM121,Computer Science (Computer Systems/Games Dev/Cyber,351.0,352.0
LM122,Creative Media and Interaction Design (Digital Des,327.0,330.0
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,441.0,412.0
LM124,Mathematics (Math Science/Maths and Physics/Econom,437.0,427.0
LM125,Physics (Applied Physics or Mathematics and Physic,404.0,405.0
LM150,General Nursing,475.0,440.0
LM152,Mental Health Nursing,419.0,388.0
LM154,Intellectual Disability Nursing,420.0,381.0
LM156,Midwifery,469.0,429.0
MU001,Theology and Arts,290.0,290.0
MU002,Theology,440.0,292.0
MH001,Education - Primary Teaching (Froebel),507.0,496.0
MH002,Education - Primary Teaching - Gaeltacht Applicant,,441.0
MH003,Early Childhood - Teaching and Learning (full-time,,
MH101,Arts,318.0,316.0
MH103,Music,,
MH106,Psychology - 3 years,521.0,495.0
MH107,Social Science,346.0,326.0
MH109,Media Studies,316.0,317.0
MH116,Community and Youth Work (Full-Time),,
MH201,Science,360.0,350.0
MH202,Biotechnology,455.0,429.0
MH203,Biological and Geographical Sciences,430.0,
MH204,Physics with Astrophysics,422.0,420.0
MH206,Theoretical Physics and Mathematics,510.0,498.0
MH207,Data Science,445.0,434.0
MH208,Biological and Biomedical Sciences,498.0,451.0
MH209,Psychology (through Science) - 4 years,498.0,473.0
MH210,Pharmaceutical and Biomedical Chemistry,487.0,446.0
MH212,Science|Maths and Computer Science|Mathematics (wi,422.0,444.0
MH304,Engineering (Computer/Electronic/Communications),333.0,371.0
MH305,Product Design,357.0,358.0
MH306,Robotics and Intelligent Devices,361.0,361.0
MH401,Finance (options),357.0,352.0
MH402,Quantitative Finance,476.0,476.0
MH403,Accounting and Finance,422.0,402.0
MH404,Business (options),430.0,400.0
MH407,Business and Accounting,420.0,401.0
MH411,Entrepreneurship,371.0,358.0
MH501,LLB Law - four year Single Major Law programme,473.0,451.0
MH502,Law (options),451.0,410.0
MH601,Computer Science through Arts (options),352.0,342.0
MH602,Computer Science through Science (options),351.0,357.0
MH603,Computational Thinking,532.0,520.0
MH801,Early Childhood - Teaching and Learning (part-time,327.0,347.0
MH802,Community and Youth Work (part-time  in service),,
MH803,Local Studies/Community Studies (part-time  evenin,,
AS001,Education  Home Economics and Biology - with concu,510.0,456.0
AS002,Education  Home Economics and Religious Ed - with,441.0,400.0
AS003,Education  Home Economics and Irish - with concurr,440.0,421.0
AS051,Nutrition  Food and Business Management,328.0,337.0
AS054,Home Economics,408.0,387.0
AS110,General Nursing,419.0,391.0
AS130,Intellectual Disability Nursing,336.0,317.0
SG141,Business,261.0,252.0
SG145,Business and ICT,,
SG146,Accounting,309.0,307.0
SG147,Sport with Business,307.0,269.0
SG148,Tourism with Event Management,269.0,246.0
SG150,Business in Marketing,,
SG241,Performing Arts,328.0,279.0
SG242,Early Childhood Care and Education,279.0,278.0
SG243,Social Care Practice,301.0,297.0
SG244,Fine Art,505.0,355.0
SG245,Creative Design,282.0,261.0
SG246,Computing,290.0,295.0
SG247,English and Psychology,309.0,308.0
SG248,Sociology and Politics,281.0,282.0
SG249,Writing and Literature,297.0,279.0
SG252,Software Development,307.0,300.0
SG253,Computing in Computer Networks and Cyber Security,324.0,273.0
SG254,Writing and Literature Online,225.0,
SG255,Law and Business,,
SG341,General Engineering,,
SG342,Civil Engineering,415.0,
SG343,Quantity Surveying,311.0,261.0
SG344,Mechanical Engineering,,
SG346,Construction Project Management and Applied Techno,291.0,289.0
SG347,Architecture,360.0,309.0
SG348,Interior Architecture and Design,316.0,
SG349,Electronics and Self Driving Technologies,,
SG350,Robotics and Automation,,
SG442,Occupational Safety and Health,290.0,289.0
SG443,Human Nutrition,356.0,357.0
SG444,Science Undenominated,338.0,308.0
SG445,Pharmaceutical Science with Drug Development,311.0,347.0
SG447,Health Science and Physical Activity,328.0,316.0
SG448,Forensic Investigation and Analysis,306.0,306.0
SG449,Medical Biotechnology,341.0,329.0
SG450,Environmental Science with Ecology (Level 8),300.0,
TL801,Animation  Visual Effects and Motion Design (Level,281.0,281.0
TL802,TV  Radio and New Media (Level 8),325.0,306.0
TL810,Computing with Software Development,310.0,309.0
TL811,Computing with Games Development,358.0,310.0
TL815,Computing (Degree Award options),308.0,308.0
TL823,Event Management (3 year programme),299.0,291.0
TL831,Business Studies (Major Specialism in: Acctng or M,306.0,307.0
TL842,Construction Management,,
TL844,Agricultural Engineering,300.0,311.0
TL845,Civil Engineering,325.0,300.0
TL847,Manufacturing Engineering,302.0,
TL848,Agricultural Science,308.0,331.0
TL851,Wildlife Biology (Degree Award options),309.0,310.0
TL855,Pharmaceutical Science (Degree Award options),317.0,342.0
TL858,Veterinary Bioscience,308.0,326.0
TL871,Health and Leisure (Degree Award options),300.0,303.0
TL872,Health and Leisure with Massage,309.0,288.0
TL873,Coaching and Sports Performance,289.0,282.0
TL874,Inclusive Sport and Physical Activity,,
TL880,Early Childhood Care and Education,307.0,307.0
TL881,Social Care,308.0,308.0
TL889,Counselling with Addiction - Mature applicants onl,,
TL890,General Nursing and Mature Applicants,440.0,407.0
TL891,Mental Health Nursing and Mature Applicants,389.0,367.0
WD001,Applied Computing (options),260.0,279.0
WD002,Science (options),308.0,302.0
WD005,Health Sciences (options),280.0,288.0
WD006,Exercise Sciences (options),280.0,282.0
WD007,Engineering (options),288.0,287.0
WD025,Construction Management and Engineering,269.0,269.0
WD027,Music,262.0,290.0
WD048,Business (options),271.0,278.0
WD084,Accounting,308.0,307.0
WD091,Hospitality Management,228.0,210.0
WD116,General Nursing,422.0,413.0
WD117,Psychiatric Nursing,366.0,361.0
WD120,Intellectual Disability Nursing,377.0,338.0
WD134,International Business,290.0,289.0
WD137,Design (Visual Communications),271.0,253.0
WD140,Laws,280.0,290.0
WD144,Architecture,284.0,283.0
WD147,Pharmaceutical Science,293.0,298.0
WD150,Criminal Justice Studies,270.0,271.0
WD152,Visual Art,,253.0
WD161,Computer Forensics and Security,255.0,262.0
WD162,Quantity Surveying,216.0,260.0
WD163,Psychology,434.0,390.0
WD186,Sports Coaching and Performance,270.0,276.0
WD187,Social Science,272.0,271.0
WD191,Agricultural Science,377.0,378.0
WD192,Social Care Practice,270.0,279.0
WD193,Marketing and Digital Media,271.0,290.0
WD194,Culinary Arts,217.0,235.0
WD195,Architectural and Building Information Modelling T,279.0,266.0
WD200,Arts (options),,221.0
WD210,Software Systems Development,279.0,271.0
WD211,Creative Computing,271.0,275.0
WD212,Recreation and Sport Management,270.0,274.0
WD230,Mechanical and Manufacturing Engineering,253.0,273.0
WD231,Early Childhood Care and Education,,
WD232,Business Information Systems,,
CR126,Popular Music: Drums at CIT Cork School of Music,801.0,878.0
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,838.0,584.0
CR128,Popular Music: Keyboards at CIT Cork School of Music,840.0,839.0
CR129,Popular Music: Voice at CIT Cork School of Music,841.0,857.0
DB516,Financial Services,,328.0
DC201,Common Entry into Science (Undenominated Entry),498.0,454.0
DC239,Gaeilge Iriseoireacht agus na Meáin Dhigiteacha,430.0,
DK860,Music (audition),532.0,499.0
DL821,English Media and Cultural Studies,212.0,211.0
DL828,3D Design Modelmaking and Digital Art,506.0,691.0
DL829,Design for Stage and Screen (Costume Design),593.0,817.0
DL830,Design for Stage and Screen (Character Makeup Design),939.0,879.0
DL831,Design for Stage and Screen (Production Design),781.0,893.0
DL834,Film and Television Production,990.0,933.0
DN252,Dairy Business,410.0,398.0
DN253,Agri - Environmental Sciences,418.0,403.0
DN271,Forestry,311.0,303.0
DN272,Horticulture Landscape and Sportsturf Management,297.0,252.0
GC250,Communications and Media Production,,
GC305,International Hospitality Management,253.0,327.0
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409.0,330.0
GY112,Arts with Film Studies,321.0,338.0
GY120,Arts (Child Youth and Family: Policy and Practice),350.0,309.0
GY121,Arts (Children`s Studies),356.0,356.0
GY124,Arts (Arts with Data Science),454.0,434.0
GY126,Arts (English and Media Studies),391.0,418.0
GY131,Arts (History and Globalisation Studies),360.0,340.0
LC401,Early Childhood Education and Care,297.0,298.0
LC414,Data Analytics and Cyber Security,236.0,
LC434,Environmental Science and Agriculture,297.0,278.0
LC613,Early Childhood Education and Care,242.0,346.0
MH405,Equine Business,357.0,357.0
SG142,Business in International Marketing and Languages (French),279.0,270.0
SG144,Business in International Marketing and Languages (Spanish),270.0,280.0
SG250,Application Design and User Experience,412.0,290.0
SG251,Computing (Smart Technologies),327.0,303.0
TR012,History and Political Science,555.0,532.0
TR017,Law and Business,602.0,576.0
TR020,Law and Political Science,602.0,567.0
TR029,Political Science and Geography,526.0,477.0
TR082,Computer Science and Business,555.0,510.0
TR083,Sociology and Social Policy,498.0,451.0
TR111,Ancient History and Archaeology/Geography,352.0,
TR112,Ancient History and Archaeology/History,529.0,
TR113,Ancient History and Archaeology/History of Art and Architecture,337.0,
TR114,Ancient History and Archaeology/Modern Language,337.0,
TR117,Ancient History and Archaeology/Religion,342.0,
TR166,Classical Civilisation/English Literature,498.0,
TR173,Classical Civilisation/History of Art and Architecture,335.0,
TR177,Classical Civilisation/Modern Language,335.0,
TR179,Classical Civilisation/Philosophy,499.0,
TR198,Economics/Geography,534.0,
TR202,Economics/History,534.0,
TR207,Economics/Mathematics,566.0,
TR208,Economics/Modern Language,534.0,
TR209,Economics/Philosophy,534.0,
TR212,Economics/Sociology,534.0,
TR228,Classical Languages/English Literature,498.0,
TR231,Classical Languages/History of Art and Architecture,349.0,
TR233,Classical Languages/Middle EasternJewish and Islamic Civilisations,349.0,
TR239,Classical Languages/Modern Language,349.0,
TR262,English Literature/History,529.0,
TR263,English Literature/History of Art and Architecture,498.0,
TR269,English Literature/Philosophy,499.0,
TR272,English Literature/Sociology,498.0,
TR276,English Literature/Drama Studies,498.0,
TR277,English Literature/Modern Language,498.0,
TR311,Film/Drama Studies,521.0,
TR312,Film/English Literature,521.0,
TR320,Film/Music,521.0,
TR322,Geography/History,529.0,
TR323,Drama Studies/Modern Language,473.0,
TR324,Film/Modern Language,521.0,
TR325,Film/History,529.0,
TR326,Geography/Modern Language,352.0,
TR332,Geography/Sociology,498.0,
TR443,History/History of Art and Architecture,529.0,
TR447,History/Modern Language,529.0,
TR449,History/Philosophy,529.0,
TR452,History/Sociology,529.0,
TR454,History/Religion,529.0,
TR455,History of Art and Architecture/Modern Language,334.0,
TR479,History of Art and Architecture/Philosophy,499.0,
TR547,Middle EasternJewish and Islamic Civ./Ancient History and Archaeology,337.0,
TR548,Middle EasternJewish and Islamic Civilisations/Classical Civilisation,335.0,
TR554,Middle EasternJewish and Islamic Civilisations/History,529.0,
TR563,Middle EasternJewish and Islamic Civilisations/Modern Language,335.0,
TR564,Middle EasternJewish and Islamic Civilisations/Music,,
TR565,Middle EasternJewish and Islamic Civilisations/Religion,342.0,
TR597,Mathematics/Modern Language,566.0,
TR598,Mathematics/Music,566.0,
TR599,Mathematics/Philosophy,566.0,
TR629,Music/Philosophy,499.0,
TR635,Music/Drama Studies,473.0,
TR636,Music/Modern Language,388.0,
TR638,Music/Religion,388.0,
TR639,Philosophy/Modern Language,499.0,
TR662,Philosophy/Sociology,499.0,
TR663,Religion/Classical Civilisation,342.0,
TR664,Religion/English Literature,498.0,
TR665,Religion/History of Art and Architecture,342.0,
TR666,Religion/Modern Language,,
TR667,French/Modern Language,403.0,
TR668,German/Modern Language,389.0,
TR669,Irish/Modern Language,368.0,
TR670,Italian/Modern Language,381.0,
TR671,Russian/Modern Language,332.0,
TR672,Spanish/Modern Language,336.0,
TR755,Sociology/Drama Studies,498.0,
TR756,Sociology/Modern Language,498.0,
TU803,Electronic Engineering,243.0,
TU806,Sustainable Energy Engineering,262.0,
TU808,Engineering Software,260.0,
TU809,Mechanical Engineering,235.0,
TU813,Automation Engineering,218.0,
TU873,Industrial Mathematics,250.0,
TU901,Business,270.0,
TU908,Management,262.0,
TU909,Accounting and Finance,285.0,
TU911,Accounting and Finance,209.0,
TU913,Business and Information Technology,252.0,
TU915,International Business,252.0,
TU916,International Business,235.0,
TU923,Marketing Management,228.0,
TU966,Languages and English Studies,366.0,
TU971,Contemporary Visual Culture,290.0,
TU972,Creative and Cultural Industries,281.0,
TU986,Print Media Technology and Management,289.0,
TU993,Early Childhood Care and Education,270.0,
TU994,Early Childhood Care and Education,321.0,
WD149,Early Childhood Studies,271.0,288.0
AL853,Accounting and Law,,305.0
CW178,Sport Science (options),,399.0
CK116,Sports Studies and Physical Education,,499.0
CK502,Food Marketing and Entrepreneurship,,433.0
CK506,International Development and Food Policy,,367.0
DC005,Education - Primary Teaching - Irish Sign Language,,316.0
DC167,Physics with Astronomy,,434.0
DC171,Applied Physics,,402.0
DC173,Physics with Biomedical Sciences,,402.0
DT001,Product Design,,433.0
DT028,Transport Operations and Technology,,279.0
DT035,Electrical Services and Energy Management,,293.0
DT066,Engineering (General Entry),,400.0
DT101,Architecture (test and interview),,618.0
DT106,Planning and Environmental Management,,312.0
DT110,Property Economics (Valuation Surveying),,367.0
DT111,Quantity Surveying and Construction Economics,,391.0
DT112,Geographic Science,,287.0
DT117,Construction Management,,356.0
DT175,Architectural Technology,,388.0
DT201,Science (General Entry),,464.0
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,341.0
DT204,Biomedical Science,,501.0
DT205,Mathematical Sciences,,315.0
DT206,Biomedical and Molecular Diagnostics,,473.0
DT211,Computer Science (Infrastructure),,381.0
DT220,Industrial Mathematics,,300.0
DT221,Physics with Energy and Environment,,348.0
DT222,Physics Technology,,321.0
DT223,Human Nutrition and Dietetics,,553.0
DT224,Optometry,,487.0
DT225,Public Health Nutrition,,440.0
DT227,Science with Nanotechnology,,312.0
DT228,Computer Science,,451.0
DT229,Clinical Measurement Science,,491.0
DT235,Physics with Medical Physics and Bioengineering,,357.0
DT282,Computer Science (International),,377.0
DT299,Chemical Sciences with Medicinal Chemistry,,420.0
DT302,Business Analytics,,325.0
DT304,E-Commerce in Retailing,,341.0
DT321,Business and Law,,462.0
DT341,Marketing,,400.0
DT343,Retail and Services Management,,301.0
DT354,Business Computing,,322.0
DT358,Logistics and Supply Chain Management,,300.0
DT365,Business and Management,,440.0
DT366,Accounting and Finance,,432.0
DT398,Human Resource Management,,375.0
DT399,Economics and Finance,,437.0
DT401,International Hospitality Management,,300.0
DT405,Culinary Science,,308.0
DT407,Culinary Arts,,271.0
DT412,Tourism Marketing,,284.0
DT413,Event Management,,356.0
DT416,Culinary Entrepreneurship,,275.0
DT420,Nutraceuticals in Health and Nutrition,,392.0
DT421,Food Innovation,,321.0
DT422,Pharmaceutical Healthcare,,397.0
DT491,Environmental Health,,343.0
DT501,Music,,383.0
DT504,Film and Broadcasting,,443.0
DT506,Commercial Modern Music,,468.0
DT508,Game Design,,403.0
DT517,Languages and English Studies,,326.0
DT518,Languages and International Tourism,,307.0
DT529,Drama (Performance),,371.0
DT532,Law (LL.B.),,422.0
DT533,Contemporary Visual Culture,,
DT544,Interior Design,,552.0
DT545,Design - Visual Communication,,667.0
DT546,Fine Art,,668.0
DT555,International Business and Languages,,353.0
DT559,Photography,,700.0
DT571,Social Care,,394.0
DT572,Early Childhood Education,,385.0
DT582,Journalism,,347.0
DT596,Print Media Technology and Management,,252.0
DT597,Creative and Cultural Industries,,280.0
DL835,Creative Media Technologies,,237.0
GC405,International Hospitality Management (Dublin),,254.0
ID003,Business Studies with Chinese,,
BN101,Business,,252.0
BN103,Business and Information Technology,,254.0
BN104,Computing (Information Technology),,260.0
BN107,Applied Social Studies in Social Care,,300.0
BN108,Engineering (Common Entry with Award options),,271.0
BN109,Business (Common Entry with Award options),,260.0
BN110,International Business,,253.0
BN111,Sports Management and Coaching,,270.0
BN112,Creative Digital Media,,280.0
BN113,Horticulture,,289.0
BN114,Accounting and Finance,,280.0
BN115,Community and Youth Development,,250.0
BN117,Computer Engineering in Mobile Systems,,273.0
BN118,Early Childhood Care and Education,,290.0
BN119,Digital Marketing,,270.0
BN120,Digital Forensics and Cyber Security,,281.0
BN121,Mechatronic Engineering,,276.0
BN123,DesignTechnology and Innovation,,297.0
TA022,Creative Digital Media,,260.0
TA023,Advertising and Marketing Communications,,235.0
TA024,Early Childhood Care and Education,,217.0
TA025,Social Care Practice,,261.0
TA026,International Hospitality and Tourism Management,,208.0
TA027,Botanical Cuisine,,236.0
TA028,Digital Marketing Technologies,,220.0
TA121,Accounting and Finance,,202.0
TA122,Management,,218.0
TA123,Marketing Management,,207.0
TA125,International Business,,229.0
TA221,Electronic Engineering,,251.0
TA222,Mechanical Engineering,,243.0
TA223,Sustainable Energy Engineering,,236.0
TA224,Biomedical Design,,218.0
TA225,Automation Engineering,,235.0
TA226,Engineering Software,,243.0
TA321,Pharmaceutical Science,,261.0
TA322,Computing,,200.0
TA323,Computing with IT Management,,243.0
TA326,DNA and Forensic Analysis,,300.0
TA327,Sports Science and Health,,341.0
TA328,Computing with Language (French/German/Spanish),,218.0
TA329,Computing with Data Analytics,,218.0
NC025,Data Science,,297.0
GA385,Retail Management,,219.0
LY218,Business - with Spanish/Irish options,,298.0
CI101,Counselling and Psychotherapy (Limerick),,276.0
LC411,Marketing and Management (Thurles),,226.0
SG149,Business in Finance and Investment,,262.0
SG441,Environmental Science,,297.0
SG446,Applied Archaeology,,289.0
TL803,Music Technology,,264.0
TL812,Computing with Digital Media,,369.0
WD148,Tourism Marketing,,269.0
