code,title,points_r1_2021,points_r1_2020,points_r1_2019
GY414,Electrical and Electronic Engineering,433,405,454
GY501,Medicine (five year/six year course  HPAT required,#737*,728,#726*
GY502,Occupational Therapy,601,555,532
GY503,Speech and Language Therapy,578,543,529
GY504,Podiatric Medicine,531,443,434
GY515,General Nursing (Galway and Portiuncula),502,476,442
GY516,Mental Health Nursing,475,440,388
GY517,Midwifery,520,495,429
LY108,Business - Accounting,312,309,318
LY118,Business,288,290,287
LY128,Marketing with Online Technologies,261,,
LY208,Law,300,300,300
LY228,Sports and Exercise - Common Entry,290,300,278
LY408,Design - Common Entry,#301,320,#307
LY508,Fire Safety Engineering,283,276,270
LY518,Quantity Surveying,304,301,307
LY528,Construction Management,262,271,267
LY538,Architectural Technology,234,,
LY608,Mechanical Engineering,300,300,304
LY618,Electronic Engineering,321,312,307
LY708,Applied Computing,320,306,300
LY748,Computer Science,316,317,
LY818,Science - Common Entry,302,303,302
LY828,Agriculture - Common Entry,308,307,300
LY908,General Nursing,429*,400,383
LY918,Psychiatric Nursing,367*,357,291*
LY928,Intellectual Disability Nursing,357,326,288
LY968,Early Childhood Care  Health and Education,288,303,300
LY978,Health and Social Care - Common Entry,279,280,260
MI001,Contemporary and Applied Theatre Studies,209,375,345
MI002,Arts,280,300,300
MI004,Education - Primary Teaching - International,589,577,
MI005,Education - Primary Teaching,522,495,473*
MI006,Education - Primary Teaching - Gaeltacht Applicant,#485,456,#442
MI007,Early Childhood Care and Education,409,357,366
MI008,Education and Psychology - Primary Teaching,590,588,543
MI009,Education  Business Studies and Accounting,434,402,392
MI010,Education  Business Studies and Religious Studies,370,368,326
MI011,Education  Gaeilge and Religious Studies,407,409,377
MI012,Education  Gaeilge and Business Studies,387,401,398
MI013,Education  Mathematics and Gaeilge,509,444,433
MI014,Education  Mathematics and Business Studies,476,434,
CI110,Counselling and Psychotherapy,292,310,
CI111,Counselling and Psychotherapy with Addiction Studi,290,301,
CI112,Counselling and Psychotherapy with Youth Studies,325,311,
LC110,Art and Design (Common Entry  portfolio),#794,740,#734
LC114,Fashion and Textiles for Product and Costume (port,#914,880,#900
LC115,Art and Design Teacher Education (LIT and UL  port,#993,942,
LC220,Digital Marketing,263,262,254
LC223,Law and Taxation,331,307,308
LC224,Accounting and Finance,300,300,299
LC225,Marketing and Management,298,298,298
LC226,Enterprise and Innovation,255,234,216
LC233,Software Development,280,272,300
LC234,Immersive Digital Media and Spatial Computing,226,225,219
LC236,Internet Systems Development,260,262,298
LC239,Computer Networks and Systems Management,317,307,335
LC241,Construction Management,326,255,276
LC242,Property Valuation and Management,308,282,292
LC243,Quantity Surveying,278,294,281
LC248,Built Environment (Common Entry),300,288,307
LC252,Civil Engineering Management,264,270,281
LC263,Medical Technology,391,294,282
LC265,Forensic and Pharmaceutical Sciences,498,413,335
LC266,Drug and Medicinal Product Analysis,252,262,236
LC275,Electrical Engineering,361,298,288
LC288,Mechanical Engineering,378,347,307
LC289,Precision Engineering,261,291,280
LC292,Social Care Work,374,367,360
LC293,Business Studies with Travel and Tourism Managemen,271,307,299
LC294,Business Studies with Event Management,279,279,271
LC295,Business Studies with Sports Management,262,252,263
LC297,Community and Addiction Studies,272,235,217
LC320,Business,381,346,337
LC330,Business with Computing,328,297,298
LC340,Interior Design,391,350,298
LC362,Biotechnology and Biopharmaceutical Sciences,429,413,379
LC371,Creative Broadcast and Film Production,325,309,298
LC372,Music Technology and Production,377,325,321
LC374,Renewable and Electrical Energy Engineering,337,318,317
LC375,Industrial Automation and Robotic Systems,309,317,321
LC376,Electronic Engineering with Computer Systems,357,318,308
LC380,Automotive Engineering and Transport Management,298,303,282
LC392,Business Studies in Beauty and Spa Management,328,236,217
LC393,Early Childhood Education and Care,309,236,260
LC402,Social Care Work,228,225,209
LC408,Environmental Science and Climate,279,279,262
LC416,Business,260,274,
LC418,Computing - Games Design and Development,260,270,271
LC422,Applied Strength and Conditioning,289,298,288
LC502,Game Art and Design (portfolio),#841,852,#838
LC517,Creative Media and Design,279,234,229
LC518,Digital Animation Production (portfolio),#807,808,#816
LC612,Social Care Work,309,320,319
LM002,Arts,360*,348,329
LM019,Social Sciences,451,,
LM020,Law and Accounting,474,465,436
LM026,Performing Arts (audition format TBC),#329,303,#307
LM028,Criminal Justice,420,418,387
LM029,Law Plus,530,490,473
LM038,Psychology and Sociology,530,500,478
LM039,Journalism and Digital Communication,432,402,388
LM040,European Studies,409,369,350
LM044,Applied Languages,429,442,404
LM050,Business Studies (options),451,431,419
LM056,International Business,555*,528,511
LM058,Financial Mathematics,468,403,434
LM063,Technology Management,410,379,372
LM066,Environmental Science,430,,
LM068,Food Science and Health,464*,421,400
LM076,Product Design and Technology (portfolio required),#401,408,#402
LM077,Aeronautical Engineering,567,520,469
LM082,Construction Management and Engineering,446*,398,368
LM089,Sport and Exercise Sciences,498*,474,441
LM090,Physical Education with concurrent Teacher Educati,552,532,498*
LM091,Languages with concurrent Teacher Education,506,517,
LM092,Science with Teacher Ed (Biology with Physics/Chem,521,507,478
LM093,Equine Science,367,339,338
LM094,Materials and Architectural Technology with concur,475,440,405
LM095,Materials and Engineering Technology with concurre,425,367,358
LM096,Science with Teacher Ed (Physical Sciences with Ch,454,405,382
LM097,Mathematics and Computer Science with concurrent T,465,402,
LM099,Architecture,520,498,#419
LM100,Physiotherapy,613*,589,565*
LM101,Medicine  - Graduate Entry (GAMSAT required),#57*,55,#55*
LM102,Psychology,534,509,495
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,#429,392,#313
LM105,Exercise and Health Fitness Management,441,,
LM115,Chemical and Biochemical Engineering,476,454,456
LM116,Engineering (Biomedical/Civil/Design and Manufactu,498*,476,434
LM118,Electronic and Computer Engineering,445,403,401
LM121,Computer Science (Computer Systems/Games Dev/Cyber,402,351,352
LM122,Creative Media and Interaction Design (Digital Des,382,327,330
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,498*,441,412
LM124,Mathematics (Math Science/Maths and Physics/Econom,455,437,427
LM125,Physics (Applied Physics or Mathematics and Physic,489,404,405
LM150,General Nursing,498*,475,440*
LM152,Mental Health Nursing,478,419,388
LM154,Intellectual Disability Nursing,462,420,381*
LM156,Midwifery,521*,469,429
MU001,Theology and Arts,294,290,290
MU002,Theology,,440,292
MH001,Education - Primary Teaching (Froebel),564,507,496*
MH002,Education - Primary Teaching - Gaeltacht Applicant,,,#441*
MH003,Early Childhood - Teaching and Learning (full-time,381,,
MH101,Arts,338,318,316
MH103,Music,#,#,#
MH106,Psychology - 3 years,554,521,495
MH107,Social Science,390,346,326
MH109,Media Studies,324,316,317
MH116,Community and Youth Work (Full-Time),#,#,#
MH201,Science,401,360,350
MH202,Biotechnology,490,455,429
MH203,Biological and Geographical Sciences,451,430,
MH204,Physics with Astrophysics,422,422,420
MH206,Theoretical Physics and Mathematics,521,510,498
MH207,Data Science,444,445,434
MH208,Biological and Biomedical Sciences,543,498,451
MH209,Psychology (through Science) - 4 years,529,498,473
MH210,Pharmaceutical and Biomedical Chemistry,510,487,446
MH212,Science|Maths and Computer Science|Mathematics (wi,452,422,444
MH304,Engineering (Computer/Electronic/Communications),351,333,371
MH305,Product Design,326,357,358
MH306,Robotics and Intelligent Devices,362,361,361
MH401,Finance (options),370,357,352
MH402,Quantitative Finance,476,476,476
MH403,Accounting and Finance,424,422,402
MH404,Business (options),441,430,400
MH407,Business and Accounting,423,420,401
MH411,Entrepreneurship,378,371,358
MH501,LLB Law - four year Single Major Law programme,507,473,451
MH502,Law (options),465,451,410
MH601,Computer Science through Arts (options),381,352,342
MH602,Computer Science through Science (options),400,351,357
MH603,Computational Thinking,520,532,520
MH801,Early Childhood - Teaching and Learning (part-time,AQA,327,347
MH802,Community and Youth Work (part-time  in service),,#,#
MH803,Local Studies/Community Studies (part-time  evenin,,#,#
AS001,Education  Home Economics and Biology - with concu,542,510,456*
AS002,Education  Home Economics and Religious Ed - with,464,441,400*
AS003,Education  Home Economics and Irish - with concurr,463*,440,421
AS051,Nutrition  Food and Business Management,378,328,337
AS054,Home Economics,440*,408,387
AS110,General Nursing,440*,419,391*
AS130,Intellectual Disability Nursing,387,336,317
SG141,Business,262,261,252
SG145,Business and ICT,279,,
SG146,Accounting,304,309,307
SG147,Sport with Business,288,307,269
SG148,Tourism with Event Management,298,269,246
SG150,Business in Marketing,298,,
SG241,Performing Arts,341,328,279
SG242,Early Childhood Care and Education,287,279,278
SG243,Social Care Practice,309,301,297
SG244,Fine Art,#501,505,#355
SG245,Creative Design,332,282,261
SG246,Computing,316,290,295
SG247,English and Psychology,319,309,308
SG248,Sociology and Politics,298,281,282
SG249,Writing and Literature,308,297,279
SG252,Software Development,310,307,300
SG253,Computing in Computer Networks and Cyber Security,336,324,273
SG254,Writing and Literature Online,327,225,
SG255,Law and Business,291,,
SG341,General Engineering,373,,
SG342,Civil Engineering,418,415,
SG343,Quantity Surveying,300,311,261
SG344,Mechanical Engineering,412,,
SG346,Construction Project Management and Applied Techno,313,291,289
SG347,Architecture,403,360,309
SG348,Interior Architecture and Design,359,316,
SG349,Electronics and Self Driving Technologies,,,
SG350,Robotics and Automation,384,,
SG442,Occupational Safety and Health,307,290,289
SG443,Human Nutrition,376,356,357
SG444,Science Undenominated,358,338,308
SG445,Pharmaceutical Science with Drug Development,357,311,347
SG447,Health Science and Physical Activity,326,328,316
SG448,Forensic Investigation and Analysis,308,306,306
SG449,Medical Biotechnology,315,341,329
SG450,Environmental Science with Ecology (Level 8),310,300,
TL801,Animation  Visual Effects and Motion Design (Level,#718,281,281
TL802,TV  Radio and New Media (Level 8),322,325,306
TL810,Computing with Software Development,308,310,309
TL811,Computing with Games Development,322,358,310
TL815,Computing (Degree Award options),307,308,308
TL823,Event Management (3 year programme),293,299,291
TL831,Business Studies (Major Specialism in: Acctng or M,306,306,307
TL842,Construction Management,,,
TL844,Agricultural Engineering,301,300,311
TL845,Civil Engineering,361,325,300
TL847,Manufacturing Engineering,305,302,
TL848,Agricultural Science,307,308,331
TL851,Wildlife Biology (Degree Award options),309,309,310
TL855,Pharmaceutical Science (Degree Award options),316,317,342
TL858,Veterinary Bioscience,317,308,326
TL871,Health and Leisure (Degree Award options),303,300,303
TL872,Health and Leisure with Massage,314,309,288
TL873,Coaching and Sports Performance,308,289,282
TL874,Inclusive Sport and Physical Activity,341,,
TL880,Early Childhood Care and Education,309,307,307
TL881,Social Care,301,308,308
TL889,Counselling with Addiction - Mature applicants onl,,,#
TL890,General Nursing and Mature Applicants,463,440,407
TL891,Mental Health Nursing and Mature Applicants,440,389,367*
WD001,Applied Computing (options),270,260,279
WD002,Science (options),279,308,302
WD005,Health Sciences (options),271,280,288
WD006,Exercise Sciences (options),270,280,282
WD007,Engineering (options),270,288,287
WD025,Construction Management and Engineering,262,269,269
WD027,Music,#321,262,#290
WD048,Business (options),279,271,278
WD084,Accounting,308,308,307
WD091,Hospitality Management,225,228,210
WD116,General Nursing,446,422,413
WD117,Psychiatric Nursing,415,366,361
WD120,Intellectual Disability Nursing,390,377,338
WD134,International Business,267,290,289
WD137,Design (Visual Communications),252,271,253
WD140,Laws,280,280,290
WD144,Architecture,309,284,283
WD147,Pharmaceutical Science,288,293,298
WD150,Criminal Justice Studies,280,270,271
WD152,Visual Art,243,AQA,253
WD161,Computer Forensics and Security,270,255,262
WD162,Quantity Surveying,226,216,260
WD163,Psychology,456,434,390
WD186,Sports Coaching and Performance,261,270,276
WD187,Social Science,276,272,271
WD191,Agricultural Science,377,377,378
WD192,Social Care Practice,271,270,279
WD193,Marketing and Digital Media,279,271,290
WD194,Culinary Arts,237,217,235
WD195,Architectural and Building Information Modelling T,279,279,266
WD200,Arts (options),201,AQA,221
WD210,Software Systems Development,260,279,271
WD211,Creative Computing,270,271,275
WD212,Recreation and Sport Management,262,270,274
WD230,Mechanical and Manufacturing Engineering,230,253,273
WD231,Early Childhood Care and Education,266,,
WD232,Business Information Systems,261,,
CR126,Popular Music: Drums at CIT Cork School of Music,,801,#878
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,838,#584
CR128,Popular Music: Keyboards at CIT Cork School of Music,,840,#839
CR129,Popular Music: Voice at CIT Cork School of Music,,841,#857
DB516,Financial Services,,,328
DC201,Common Entry into Science (Undenominated Entry),,498,454
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,430,
DK860,Music (audition),,532,#499
DL821,"English, Media and Cultural Studies",,212,211
DL828,"3D Design, Modelmaking and Digital Art",,506,#691
DL829,Design for Stage and Screen (Costume Design),,593,#817
DL830,Design for Stage and Screen (Character Makeup Design),,939,#879
DL831,Design for Stage and Screen (Production Design),,781,#893
DL834,Film and Television Production,,990,#933
DN252,Dairy Business,,410,398
DN253,Agri - Environmental Sciences,,418,403
DN271,Forestry,,311,303
DN272,"Horticulture, Landscape and Sportsturf Management",,297,252
GC250,Communications and Media Production,,,
GC305,International Hospitality Management,,253,327
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),,409,330
GY112,Arts with Film Studies,,321,338
GY120,"Arts (Child, Youth and Family: Policy and Practice)",,350,309
GY121,Arts (Children`s Studies),,356,356
GY124,Arts (Arts with Data Science),,454,434
GY126,Arts (English and Media Studies),,391,418
GY131,Arts (History and Globalisation Studies),,360,340
LC401,Early Childhood Education and Care,,297,298
LC414,Data Analytics and Cyber Security,,236,
LC434,Environmental Science and Agriculture,,297,278
LC613,Early Childhood Education and Care,,242,346
MH405,Equine Business,,357,357
SG142,Business in International Marketing and Languages (French),,279,270
SG144,Business in International Marketing and Languages (Spanish),,270,280
SG250,Application Design and User Experience,,412,290
SG251,Computing (Smart Technologies),,327,303
TR012,History and Political Science,,555,532*
TR017,Law and Business,,602,576
TR020,Law and Political Science,,602,567
TR029,Political Science and Geography,,526,477
TR082,Computer Science and Business,,555,510
TR083,Sociology and Social Policy,,498,451
TR111,Ancient History and Archaeology/Geography,,352,
TR112,Ancient History and Archaeology/History,,529,
TR113,Ancient History and Archaeology/History of Art and Architecture,,337,
TR114,Ancient History and Archaeology/Modern Language,,337,
TR117,Ancient History and Archaeology/Religion,,342,
TR166,Classical Civilisation/English Literature,,498,
TR173,Classical Civilisation/History of Art and Architecture,,335,
TR177,Classical Civilisation/Modern Language,,335,
TR179,Classical Civilisation/Philosophy,,499,
TR198,Economics/Geography,,534,
TR202,Economics/History,,534,
TR207,Economics/Mathematics,,566,
TR208,Economics/Modern Language,,534,
TR209,Economics/Philosophy,,534,
TR212,Economics/Sociology,,534,
TR228,Classical Languages/English Literature,,498,
TR231,Classical Languages/History of Art and Architecture,,349,
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",,349,
TR239,Classical Languages/Modern Language,,349,
TR262,English Literature/History,,529,
TR263,English Literature/History of Art and Architecture,,498,
TR269,English Literature/Philosophy,,499,
TR272,English Literature/Sociology,,498,
TR276,English Literature/Drama Studies,,#498,
TR277,English Literature/Modern Language,,498,
TR311,Film/Drama Studies,,#521,
TR312,Film/English Literature,,521,
TR320,Film/Music,,521,
TR322,Geography/History,,529,
TR323,Drama Studies/Modern Language,,#473,
TR324,Film/Modern Language,,521,
TR325,Film/History,,529,
TR326,Geography/Modern Language,,352,
TR332,Geography/Sociology,,498,
TR443,History/History of Art and Architecture,,529,
TR447,History/Modern Language,,529,
TR449,History/Philosophy,,529,
TR452,History/Sociology,,529,
TR454,History/Religion,,529,
TR455,History of Art and Architecture/Modern Language,,334,
TR479,History of Art and Architecture/Philosophy,,499,
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",,337,
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",,335,
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",,529,
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",,335,
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",,342,
TR597,Mathematics/Modern Language,,566,
TR598,Mathematics/Music,,566,
TR599,Mathematics/Philosophy,,566,
TR629,Music/Philosophy,,499,
TR635,Music/Drama Studies,,#473,
TR636,Music/Modern Language,,388,
TR638,Music/Religion,,388,
TR639,Philosophy/Modern Language,,499,
TR662,Philosophy/Sociology,,499,
TR663,Religion/Classical Civilisation,,342,
TR664,Religion/English Literature,,498,
TR665,Religion/History of Art and Architecture,,342,
TR666,Religion/Modern Language,,,
TR667,French/Modern Language,,403,
TR668,German/Modern Language,,389,
TR669,Irish/Modern Language,,368,
TR670,Italian/Modern Language,,381,
TR671,Russian/Modern Language,,332,
TR672,Spanish/Modern Language,,336,
TR755,Sociology/Drama Studies,,#498,
TR756,Sociology/Modern Language,,498,
TU803,Electronic Engineering,,243,
TU806,Sustainable Energy Engineering,,262,
TU808,Engineering Software,,260,
TU809,Mechanical Engineering,,235,
TU813,Automation Engineering,,218,
TU873,Industrial Mathematics,,250,
TU901,Business,,270,
TU908,Management,,262,
TU909,Accounting and Finance,,285,
TU911,Accounting and Finance,,209,
TU913,Business and Information Technology,,252,
TU915,International Business,,252,
TU916,International Business,,235,
TU923,Marketing Management,,228,
TU966,Languages and English Studies,,366,
TU971,Contemporary Visual Culture,,290,
TU972,Creative and Cultural Industries,,281,
TU986,Print Media Technology and Management,,289,
TU993,Early Childhood Care and Education,,270,
TU994,Early Childhood Care and Education,,321,
WD149,Early Childhood Studies,,271,288
AL853,Accounting and Law,,,305
CW178,Sport Science (options),,,399
CK116,Sports Studies and Physical Education,,,499
CK502,Food Marketing and Entrepreneurship,,,433
CK506,International Development and Food Policy,,,367
DC005,Education - Primary Teaching - Irish Sign Language,,,#316
DC167,Physics with Astronomy,,,434
DC171,Applied Physics,,,402
DC173,Physics with Biomedical Sciences,,,402
DT001,Product Design,,,433
DT028,Transport Operations and Technology,,,279
DT035,Electrical Services and Energy Management,,,293
DT066,Engineering (General Entry),,,400
DT101,Architecture (test and interview),,,#618
DT106,Planning and Environmental Management,,,312
DT110,Property Economics (Valuation Surveying),,,367
DT111,Quantity Surveying and Construction Economics,,,391
DT112,Geographic Science,,,287
DT117,Construction Management,,,356
DT175,Architectural Technology,,,388
DT201,Science (General Entry),,,464
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,341
DT204,Biomedical Science,,,501
DT205,Mathematical Sciences,,,315
DT206,Biomedical and Molecular Diagnostics,,,473
DT211,Computer Science (Infrastructure),,,381
DT220,Industrial Mathematics,,,300
DT221,Physics with Energy and Environment,,,348
DT222,Physics Technology,,,321
DT223,Human Nutrition and Dietetics,,,553
DT224,Optometry,,,487
DT225,Public Health Nutrition,,,440
DT227,Science with Nanotechnology,,,312
DT228,Computer Science,,,451
DT229,Clinical Measurement Science,,,491
DT235,Physics with Medical Physics and Bioengineering,,,357
DT282,Computer Science (International),,,377
DT299,Chemical Sciences with Medicinal Chemistry,,,420
DT302,Business Analytics,,,325
DT304,E-Commerce in Retailing,,,341
DT321,Business and Law,,,462
DT341,Marketing,,,400
DT343,Retail and Services Management,,,301
DT354,Business Computing,,,322
DT358,Logistics and Supply Chain Management,,,300
DT365,Business and Management,,,440
DT366,Accounting and Finance,,,432
DT398,Human Resource Management,,,375
DT399,Economics and Finance,,,437
DT401,International Hospitality Management,,,300
DT405,Culinary Science,,,308
DT407,Culinary Arts,,,271
DT412,Tourism Marketing,,,284
DT413,Event Management,,,356
DT416,Culinary Entrepreneurship,,,275
DT420,Nutraceuticals in Health and Nutrition,,,392
DT421,Food Innovation,,,321
DT422,Pharmaceutical Healthcare,,,397
DT491,Environmental Health,,,343
DT501,Music,,,#383
DT504,Film and Broadcasting,,,443
DT506,Commercial Modern Music,,,#468
DT508,Game Design,,,403
DT517,Languages and English Studies,,,326
DT518,Languages and International Tourism,,,307
DT529,Drama (Performance),,,#371
DT532,Law (LL.B.),,,422
DT533,Contemporary Visual Culture,,,#
DT544,Interior Design,,,#552
DT545,Design - Visual Communication,,,#667
DT546,Fine Art,,,#668
DT555,International Business and Languages,,,353
DT559,Photography,,,#700
DT571,Social Care,,,394
DT572,Early Childhood Education,,,385
DT582,Journalism,,,347
DT596,Print Media Technology and Management,,,252
DT597,Creative and Cultural Industries,,,280
DL835,Creative Media Technologies,,,237
GC405,International Hospitality Management (Dublin),,,254
ID003,Business Studies with Chinese,,,
BN101,Business,,,252
BN103,Business and Information Technology,,,254
BN104,Computing (Information Technology),,,260
BN107,Applied Social Studies in Social Care,,,300
BN108,Engineering (Common Entry with Award options),,,271
BN109,Business (Common Entry with Award options),,,260
BN110,International Business,,,253
BN111,Sports Management and Coaching,,,270
BN112,Creative Digital Media,,,280
BN113,Horticulture,,,289
BN114,Accounting and Finance,,,280
BN115,Community and Youth Development,,,250
BN117,Computer Engineering in Mobile Systems,,,273
BN118,Early Childhood Care and Education,,,290
BN119,Digital Marketing,,,270
BN120,Digital Forensics and Cyber Security,,,281
BN121,Mechatronic Engineering,,,276
BN123,"Design,Technology and Innovation",,,297
TA022,Creative Digital Media,,,260
TA023,Advertising and Marketing Communications,,,235
TA024,Early Childhood Care and Education,,,217
TA025,Social Care Practice,,,261
TA026,International Hospitality and Tourism Management,,,208
TA027,Botanical Cuisine,,,236
TA028,Digital Marketing Technologies,,,220
TA121,Accounting and Finance,,,202
TA122,Management,,,218
TA123,Marketing Management,,,207
TA125,International Business,,,229
TA221,Electronic Engineering,,,251
TA222,Mechanical Engineering,,,243
TA223,Sustainable Energy Engineering,,,236
TA224,Biomedical Design,,,218
TA225,Automation Engineering,,,235
TA226,Engineering Software,,,243
TA321,Pharmaceutical Science,,,261
TA322,Computing,,,200
TA323,Computing with IT Management,,,243
TA326,DNA and Forensic Analysis,,,300
TA327,Sports Science and Health,,,341
TA328,Computing with Language (French/German/Spanish),,,218
TA329,Computing with Data Analytics,,,218
NC025,Data Science,,,297
GA385,Retail Management,,,219
LY218,Business - with Spanish/Irish options,,,298
CI101,Counselling and Psychotherapy (Limerick),,,276
LC411,Marketing and Management (Thurles),,,226
SG149,Business in Finance and Investment,,,262
SG441,Environmental Science,,,297
SG446,Applied Archaeology,,,289
TL803,Music Technology,,,264
TL812,Computing with Digital Media,,,369
WD148,Tourism Marketing,,,269
